title,type,genre,director,rating_imdb,content_rag
Miss Jerry,movie,Romance,Alexander Black,5.9,JUDUL: Miss Jerry | TIPE: movie | GENRE: Romance | SUTRADARA: Alexander Black | RATING IMDB: 5.9 | PLOT: The adventures of a female reporter in the 1890s.
The Story of the Kelly Gang,movie,"Biography, Crime, Drama",Charles Tait,6.1,"JUDUL: The Story of the Kelly Gang | TIPE: movie | GENRE: Biography, Crime, Drama | SUTRADARA: Charles Tait | RATING IMDB: 6.1 | PLOT: True story of notorious Australian outlaw Ned Kelly (1855-80)."
Den sorte drÃ¸m,movie,Drama,Urban Gad,5.8,"JUDUL: Den sorte drÃ¸m | TIPE: movie | GENRE: Drama | SUTRADARA: Urban Gad | RATING IMDB: 5.8 | PLOT: Two men of high rank are both wooing the beautiful and famous equestrian acrobat Stella. While Stella ignores the jeweler Hirsch, she accepts Count von Waldberg's offer to follow her home, ..."
Cleopatra,movie,"Drama, History",Charles L. Gaskill,5.2,"JUDUL: Cleopatra | TIPE: movie | GENRE: Drama, History | SUTRADARA: Charles L. Gaskill | RATING IMDB: 5.2 | PLOT: The fabled queen of Egypt's affair with Roman general Marc Antony is ultimately disastrous for both of them."
L'Inferno,movie,"Adventure, Drama, Fantasy","Francesco Bertolini, Adolfo Padovan",7.0,"JUDUL: L'Inferno | TIPE: movie | GENRE: Adventure, Drama, Fantasy | SUTRADARA: Francesco Bertolini, Adolfo Padovan | RATING IMDB: 7.0 | PLOT: Loosely adapted from Dante's Divine Comedy and inspired by the illustrations of Gustav DorÃ© the original silent film has been restored and has a new score by Tangerine Dream."
"From the Manger to the Cross; or, Jesus of Nazareth",movie,"Biography, Drama",Sidney Olcott,5.7,"JUDUL: From the Manger to the Cross; or, Jesus of Nazareth | TIPE: movie | GENRE: Biography, Drama | SUTRADARA: Sidney Olcott | RATING IMDB: 5.7 | PLOT: An account of the life of Jesus Christ, based on the books of the New Testament: After Jesus' birth is foretold to his parents, he is born in Bethlehem, and is visited by shepherds and wise..."
Madame DuBarry,movie,"Biography, Drama, Romance",Ernst Lubitsch,6.8,"JUDUL: Madame DuBarry | TIPE: movie | GENRE: Biography, Drama, Romance | SUTRADARA: Ernst Lubitsch | RATING IMDB: 6.8 | PLOT: The story of Madame DuBarry, the mistress of Louis XV of France, and her loves in the time of the French revolution."
Quo Vadis?,movie,"Drama, History",Enrico Guazzoni,6.2,"JUDUL: Quo Vadis? | TIPE: movie | GENRE: Drama, History | SUTRADARA: Enrico Guazzoni | RATING IMDB: 6.2 | PLOT: An epic Italian film ""Quo Vadis"" influenced many of the later movies."
Independenta Romaniei,movie,"History, War","Aristide Demetriade, Grigore Brezeanu",6.7,"JUDUL: Independenta Romaniei | TIPE: movie | GENRE: History, War | SUTRADARA: Aristide Demetriade, Grigore Brezeanu | RATING IMDB: 6.7 | PLOT: The movie depicts the Romanian War of Independence (1877-1878)."
Richard III,movie,Drama,"AndrÃ© Calmettes, James Keane",5.5,"JUDUL: Richard III | TIPE: movie | GENRE: Drama | SUTRADARA: AndrÃ© Calmettes, James Keane | RATING IMDB: 5.5 | PLOT: Richard of Gloucester uses manipulation and murder to gain the English throne."
Atlantis,movie,Drama,August Blom,6.6,"JUDUL: Atlantis | TIPE: movie | GENRE: Drama | SUTRADARA: August Blom | RATING IMDB: 6.6 | PLOT: After Dr. Friedrich's wife becomes mentally unstable and his research papers are rejected, he leaves the country to respite."
